DATE,USALOLITOAASTSAM
2006-01-01,101.250849754059
2006-02-01,101.337040283025
2006-03-01,101.362437488714
2006-04-01,101.323077956952
2006-05-01,101.247246101604
2006-06-01,101.174795192341
2006-07-01,101.12606983567
2006-08-01,101.125445645448
2006-09-01,101.185575965299
2006-10-01,101.296528764659
2006-11-01,101.432670468547
2006-12-01,101.576975141999
2007-01-01,101.713581410652
2007-02-01,101.841724226958
2007-03-01,101.968194976668
2007-04-01,102.083100171387
2007-05-01,102.16884929456
2007-06-01,102.21064317292
2007-07-01,102.191349980464
2007-08-01,102.107077114704
2007-09-01,101.985883231646
2007-10-01,101.849488935175
2007-11-01,101.70591905483
2007-12-01,101.572361381393
2008-01-01,101.447193980706
2008-02-01,101.308333953529
2008-03-01,101.151020252604
2008-04-01,100.951548198718
